	track	rate_downloads_total	rate_listened_total	playlisted	favorited	likes	dislikes	avgnote	notes
2344	track_0305170	1106	2612	102	61	0	0	0.0	0
9285	track_1383416	335	2612	5	4	0	0	0.0	0
6863	track_1168490	786	2611	8	3	0	0	0.0	0
8473	track_1335150	2402	2610	1	1	0	0	2.6667	3
5009	track_1047961	424	2609	44	36	2	0	0.0	0
3546	track_0582669	1423	2609	47	25	0	0	0.0	0
1868	track_0208184	3138	2609	15	7	0	0	0.0	0
5882	track_1113994	567	2605	12	7	0	0	0.0	0
7452	track_1231486	2431	2605	6	1	0	0	0.0	0
8583	track_1344445	736	2604	6	3	0	0	4.0	1
6642	track_1162600	705	2603	7	2	0	0	0.0	0
1725	track_0191654	584	2602	26	9	0	0	5.0	2
8367	track_1324672	725	2600	7	0	0	0	0.0	0
5011	track_1047962	532	2599	47	38	2	0	0.0	0
4953	track_1041559	3491	2598	2	0	0	0	0.0	0
1312	track_0132286	624	2598	65	44	0	0	0.0	0
7374	track_1219473	1231	2598	2	0	0	0	0.0	0
3619	track_0631050	655	2598	30	14	0	0	6.0	1
6806	track_1166620	691	2596	4	2	0	0	2.6667	3
9207	track_1371883	1019	2596	8	4	0	0	0.0	0
5539	track_1086161	263	2595	0	0	0	0	0.0	0
7420	track_1227499	409	2594	13	12	0	0	0.0	0
755	track_0043423	3202	2594	17	5	0	0	5.0	2
2762	track_0363570	332	2594	52	32	0	0	6.0	1
7953	track_1283745	363	2594	0	0	0	0	0.0	0
3331	track_0488646	2326	2593	48	24	0	0	7.0	1
7633	track_1255091	271	2592	5	2	0	0	0.0	0
3490	track_0543403	2113	2592	16	6	0	0	0.0	0
3147	track_0429007	601	2590	13	5	0	0	0.0	0
8920	track_1354585	465	2589	11	3	0	0	0.0	0
8776	track_1350951	1243	2589	12	2	0	0	3.0	2
3874	track_0761660	2291	2589	8	3	0	0	0.0	0
4430	track_0956534	535	2587	5	2	0	0	0.0	0
9322	track_1388809	1069	2586	17	9	0	0	0.0	0
8376	track_1327030	1118	2585	7	3	0	0	6.0	2
1968	track_0218861	1007	2585	28	17	1	0	0.0	0
8166	track_1304470	5350	2585	5	3	0	0	0.0	0
6517	track_1153714	1125	2581	6	2	1	0	0.0	0
6878	track_1168483	1138	2581	8	3	1	0	0.0	0
1873	track_0208495	4006	2580	15	11	0	0	0.0	0
5177	track_1060333	755	2580	4	1	0	0	6.0	1
6051	track_1122015	816	2580	21	8	0	0	8.0	2
7176	track_1203946	705	2578	0	0	0	0	0.0	0
7166	track_1203127	589	2578	9	2	1	1	0.0	0
8179	track_1306024	755	2577	13	5	0	0	3.0	1
2015	track_0225609	545	2576	71	44	0	0	0.0	0
6173	track_1128736	908	2575	1	0	0	0	0.0	0
6671	track_1162624	1138	2573	4	0	0	0	0.0	0
9343	track_1388814	1437	2572	19	12	0	0	0.0	0
8696	track_1348124	742	2571	16	6	0	0	0.0	0
7985	track_1287490	575	2571	9	5	0	0	0.0	0
352	track_0024114	484	2569	35	21	0	0	0.0	0
6143	track_1128089	2060	2568	6	2	0	0	0.0	0
6163	track_1129053	635	2567	6	2	0	0	0.0	0
1775	track_0192631	635	2564	32	14	0	0	0.0	0
3966	track_0786434	1608	2563	9	5	1	0	0.0	0
5793	track_1101583	538	2562	30	13	1	0	0.0	0
8292	track_1315727	247	2561	2	0	0	0	6.0	1
9515	track_1398155	394	2558	12	4	0	0	0.0	0
4638	track_0986593	861	2556	19	8	0	0	0.0	0
3698	track_0670352	789	2554	6	3	1	0	0.0	0
6580	track_1156055	1089	2554	29	8	0	0	9.0	2
2325	track_0306170	319	2554	21	12	0	0	0.0	0
6060	track_1125368	406	2552	5	1	1	0	0.0	0
9427	track_1393237	588	2552	10	0	0	0	0.0	0
8635	track_1347895	549	2552	4	2	0	0	2.0	1
3906	track_0774156	1043	2550	28	11	2	0	0.0	0
8206	track_1307852	589	2548	6	3	0	0	0.0	0
2001	track_0225073	390	2546	51	34	0	0	0.0	0
8272	track_1315730	381	2545	6	4	0	0	6.0	1
7138	track_1196597	2447	2545	1	0	0	0	0.0	0
8036	track_1294769	402	2544	9	4	0	0	0.0	0
8089	track_1298243	2729	2544	8	4	0	0	0.0	0
6902	track_1173526	1472	2544	8	0	0	0	0.0	0
8867	track_1352908	968	2543	6	1	0	0	3.0	1
7299	track_1212537	309	2543	1	0	0	0	0.0	0
8608	track_1344545	420	2543	4	2	0	0	0.0	0
1877	track_0211538	461	2542	22	6	0	0	5.0	2
6207	track_1133315	492	2542	2	0	1	0	0.0	0
5027	track_1052146	1065	2541	13	6	0	1	0.0	0
68	track_0005244	253	2540	11	7	0	0	4.0	1
1242	track_0123285	514	2539	7	2	0	0	0.0	0
5428	track_1077278	989	2538	5	2	2	0	0.0	0
2603	track_0339557	290	2537	11	4	0	0	0.0	0
4604	track_0986588	1231	2537	14	5	0	0	0.0	0
4981	track_1044780	929	2531	1	0	0	0	0.0	0
5210	track_1060325	750	2531	7	4	0	0	6.0	1
5314	track_1066896	530	2529	6	2	1	0	7.0	1
618	track_0036976	724	2529	42	17	0	0	4.0	1
9107	track_1367185	457	2528	17	9	0	0	6.0	2
2196	track_0263086	1143	2527	8	4	0	0	6.0	1
7301	track_1212536	793	2523	3	1	0	0	0.0	0
1945	track_0219041	2283	2522	22	13	0	1	10.0	1
3813	track_0723358	2425	2518	50	29	0	0	0.0	0
8748	track_1349531	499	2516	15	3	0	0	0.0	0
4682	track_0986601	386	2515	9	0	0	0	0.0	0
315	track_0019860	355	2514	45	22	0	0	0.0	0
6763	track_1164988	2045	2514	11	4	0	0	0.0	0
3855	track_0743014	667	2513	25	13	0	0	0.0	0
